Source	Target	Color	weight	Label
2684	3080	2	0.04888673923428701	26843080
897	2516	38	0.06363042396224979	8972516
949	3020	25	0.03674442250852551	9493020
1286	1886	24	0.02757228007177841	12861886
586	1392	27	0.0992867085267028	5861392
2488	2856	32	0.03817306864189458	24882856
228	3057	31	0.01766335607680215	2283057
2516	3551	25	0.09994862738532895	25163551
144	997	12	0.45025975616453545	144997
2501	3095	14	0.11905151571890052	25013095
120	2655	4	0.07072675938605134	1202655
296	3376	23	0.0066472266992741915	2963376
890	1526	36	0.04854932027303813	8901526
2486	3232	31	0.09571663468759067	24863232
661	3221	5	0.04644433860829489	6613221
2094	2800	22	0.07528702246046462	20942800
3558	3775	14	0.04518515345668372	35583775
9	515	14	0.14391828462418474	9515
2056	3663	23	0.013263090766223791	20563663
4	3856	31	0.04474381132558444	43856
331	1913	15	0.02589113855108954	3311913
1653	3372	31	0.12602618359610027	16533372
2501	3089	8	0.025075513934604405	25013089
1653	2287	5	0.0295639151882135	16532287
222	3359	31	0.11022645233146779	2223359
3081	3198	32	0.05958151725475939	30813198
2419	3111	10	0.0873073905437444	24193111
1886	2218	27	0.09169534884332163	18862218
3560	3692	20	0.017607067796079432	35603692
225	822	16	0.13453152284432604	225822
3608	3713	13	0.21223519948808584	36083713
392	775	37	0.05132609931447719	392775
65	3072	5	0.2189049804709314	653072
586	3551	38	0.08495664678406444	5863551
549	2018	34	0.09872021775351428	5492018
466	1635	24	0.03617565317781286	4661635
601	1993	4	0.19980934571961406	6011993
1087	2616	37	0.02537462829757349	10872616
228	3036	30	0.022819280992762297	2283036
828	3484	38	0.02100530574012441	8283484
1958	2927	15	0.02534496304821803	19582927
1362	3434	35	0.08575445631291576	13623434
1544	2774	27	0.0489924763080025	15442774
1808	3372	29	0.6858518457426609	18083372
466	3807	9	0.06713262370959773	4663807
1808	2287	2	0.16089089759473718	18082287
654	2529	3	0.7273469699077784	6542529
222	831	31	0.08059725726913626	222831
3047	3171	29	0.07166404095909933	30473171
1544	3857	6	0.03331794203739705	15443857
1661	2826	6	0.050761017365026084	16612826
1661	2825	33	0.07759503226431244	16612825
2800	3551	28	0.09659280224441348	28003551
